Reservoir,Site,DateTime,Depth_m,TN_ugL,TP_ugL,NH4_ugL,NO3NO2_ugL,SRP_ugL,DOC_mgL,Flag_TN,Flag_TP,Flag_NH4,Flag_NO3NO2,Flag_SRP,Flag_DOC
FCR,50,2016-08-26,0.1,147.9,31.6,7,4,16,2.2,0,0,0,0,0,0
FCR,100,2016-08-26,0.1,145.8,15.6,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2016-09-02,0.1,154.4,25.4,6,2,10,2.2,0,0,0,0,0,0
FCR,100,2016-09-02,0.1,267,34.8,5,82,11,1.5,0,0,0,0,0,0
FCR,50,2016-09-09,0.1,166.4,25.5,NA,NA,NA,NA,0,0,0,0,0,0
FCR,100,2016-09-09,0.1,344,36.5,4,104,12,1.4,0,0,0,0,0,0
FCR,50,2016-09-20,0.1,201.4,29.3,19,2,12,2.7,0,0,0,0,0,0
FCR,100,2016-09-20,0.1,287,41,6,16,12,2.1,0,0,0,0,0,0
FCR,50,2016-09-30,0.1,291,27.6,16,6,10,3.2,0,0,0,0,0,0
FCR,100,2016-09-30,0.1,299,30,7,17,11,3.2,0,0,0,0,0,0
FCR,50,2016-10-05,0.1,250.4,28.1,5,4,11,3,0,0,0,0,0,0
FCR,50,2016-10-07,0.1,238.4,27.4,35,5,12,3.6,0,0,0,0,0,0
FCR,100,2016-10-07,0.1,229,31.9,4,7,9,2.8,0,0,0,0,0,0
FCR,50,2016-10-14,0.1,205.4,27.2,6,1,7,3,0,0,0,0,0,0
FCR,100,2016-10-14,0.1,182.8,21.1,5,14,4,2.3,0,0,0,0,0,0
FCR,50,2016-11-04,0.1,183.4,25.6,4,4,5,2.4,0,0,0,0,0,0
FCR,50,2016-12-02,0.1,167.4,21.4,4,3,10,2.6,0,0,0,0,0,0
FCR,100,2016-12-02,0.1,171,17.3,7,31,6,2.3,0,0,0,0,0,0
FCR,50,2017-02-06,0.1,140,19.7,8,5,4,1.9,0,0,0,0,0,0
FCR,100,2017-02-06,0.1,103,13.2,5,34,10,1.1,0,0,0,0,0,0
FCR,50,2017-02-27,0.1,140,18.2,13,4,7,1.9,0,0,0,0,0,0
FCR,100,2017-02-27,0.1,129,17.4,7,110,10,1.2,0,0,0,0,0,0
FCR,50,2017-03-13,0.1,154,18.8,11,4,5,2.3,0,0,0,0,0,0
FCR,100,2017-03-13,0.1,175,20.6,5,108,12,1.3,0,0,0,0,0,0
FCR,50,2017-03-27,0.1,135,21.2,18,3,16,2.3,0,0,0,0,0,0
FCR,100,2017-03-27,0.1,169,22.9,13,97,15,1.5,0,0,0,0,0,0
FCR,50,2017-04-10,0.1,127,21.4,7,12,10,2.4,0,0,0,0,0,0
FCR,100,2017-04-10,0.1,138,22.1,6,83,18,1.5,0,0,0,0,0,0
FCR,50,2017-04-17,0.1,97.7,17.3,7,3,10,3.2,0,0,0,0,0,0
FCR,100,2017-04-17,0.1,164,23.6,8,94,21,1.7,0,0,0,0,0,0
FCR,50,2017-04-24,0.1,139,19.4,14,1,7,2.2,0,0,0,0,0,0
FCR,100,2017-04-24,0.1,124,10.9,6,34,11,3.7,0,0,0,0,0,0
