"Date","Depth","TPinf_interp"
2014-05-28,6,NA
2014-05-28,6.2,NA
2014-05-28,8,NA
2014-05-28,9,NA
2014-05-28,9.3,NA
2014-06-02,0.1,NA
2014-06-02,1,NA
2014-06-02,1.6,NA
2014-06-02,2.8,NA
2014-06-02,3.8,NA
2014-06-02,5,NA
2014-06-02,5.2,NA
2014-06-02,5.5,NA
2014-06-02,5.8,NA
2014-06-02,6,NA
2014-06-02,6.2,NA
2014-06-02,8,NA
2014-06-02,9,NA
2014-06-02,9.3,NA
2014-06-03,0.1,NA
2014-06-03,1,NA
2014-06-03,1.6,NA
2014-06-03,2.8,NA
2014-06-03,3.8,NA
2014-06-03,5,NA
2014-06-03,5.2,NA
2014-06-03,5.5,NA
2014-06-03,5.8,NA
2014-06-03,6,NA
2014-06-03,6.2,NA
2014-06-03,8,NA
2014-06-03,9,NA
2014-06-03,9.3,NA
2014-06-04,0.1,NA
2014-06-04,1,NA
2014-06-04,1.6,NA
2014-06-04,2.8,NA
2014-06-04,3.8,NA
2014-06-04,5,NA
2014-06-04,5.2,NA
2014-06-04,5.5,NA
2014-06-04,5.8,NA
2014-06-04,6,NA
2014-06-04,6.2,NA
2014-06-04,8,NA
2014-06-04,9,NA
2014-06-04,9.3,NA
2014-06-05,0.1,NA
2014-06-05,1,NA
2014-06-05,1.6,NA
2014-06-05,2.8,NA
2014-06-05,3.8,NA
2014-06-05,5,NA
2014-06-05,5.2,NA
2014-06-05,5.5,NA
2014-06-05,5.8,NA
2014-06-05,6,NA
2014-06-05,6.2,NA
2014-06-05,8,NA
2014-06-05,9,NA
2014-06-05,9.3,NA
2014-06-06,0.1,NA
2014-06-06,1,NA
2014-06-06,1.6,NA
2014-06-06,2.8,NA
2014-06-06,3.8,NA
2014-06-06,5,NA
2014-06-06,5.2,NA
2014-06-06,5.5,NA
2014-06-06,5.8,NA
2014-06-06,6,NA
2014-06-06,6.2,NA
2014-06-06,8,NA
2014-06-06,9,NA
2014-06-06,9.3,NA
2014-06-09,0.1,NA
2014-06-09,1,NA
2014-06-09,1.6,NA
2014-06-09,2.8,NA
2014-06-09,3.8,NA
2014-06-09,5,NA
2014-06-09,5.2,NA
2014-06-09,5.5,NA
2014-06-09,5.8,NA
2014-06-09,6,NA
2014-06-09,6.2,NA
2014-06-09,8,NA
2014-06-09,9,NA
2014-06-09,9.3,NA
2014-06-12,0.1,NA
2014-06-12,1,NA
2014-06-12,1.6,NA
2014-06-12,2.8,NA
2014-06-12,3.8,NA
2014-06-12,5,NA
2014-06-12,5.2,NA
2014-06-12,5.5,NA
2014-06-12,5.8,NA
2014-06-12,6,NA
2014-06-12,6.2,NA
2014-06-12,8,NA
2014-06-12,9,NA
2014-06-12,9.3,NA
2014-06-16,0.1,NA
2014-06-16,1,NA
2014-06-16,1.6,NA
2014-06-16,2.8,NA
2014-06-16,3.8,NA
2014-06-16,5,NA
2014-06-16,5.2,NA
2014-06-16,5.5,NA
2014-06-16,5.8,NA
2014-06-16,6,NA
2014-06-16,6.2,NA
2014-06-16,8,NA
2014-06-16,9,NA
2014-06-16,9.3,NA
2014-06-19,0.1,NA
2014-06-19,1,NA
2014-06-19,1.6,NA
2014-06-19,2.8,NA
2014-06-19,3.8,NA
2014-06-19,5,NA
2014-06-19,5.2,NA
2014-06-19,5.5,NA
2014-06-19,5.8,NA
2014-06-19,6,NA
2014-06-19,6.2,NA
2014-06-19,8,NA
2014-06-19,9,NA
2014-06-19,9.3,NA
2014-06-23,0.1,NA
2014-06-23,1,NA
2014-06-23,1.6,NA
2014-06-23,2.8,NA
2014-06-23,3.8,NA
2014-06-23,5,NA
2014-06-23,5.2,NA
2014-06-23,5.5,NA
2014-06-23,5.8,NA
2014-06-23,6,NA
2014-06-23,6.2,NA
2014-06-23,8,NA
2014-06-23,9,NA
2014-06-23,9.3,NA
2014-06-25,0.1,NA
2014-06-25,1,NA
2014-06-25,1.6,NA
2014-06-25,2.8,NA
2014-06-25,3.8,NA
2014-06-25,5,NA
2014-06-25,5.2,NA
2014-06-25,5.5,NA
2014-06-25,5.8,NA
2014-06-25,6,NA
2014-06-25,6.2,NA
2014-06-25,8,NA
2014-06-25,9,NA
2014-06-25,9.3,NA
2014-06-29,0.1,NA
2014-06-29,1,NA
2014-06-29,1.6,NA
2014-06-29,2.8,NA
2014-06-29,3.8,NA
2014-06-29,5,NA
2014-06-29,5.2,NA
2014-06-29,5.5,NA
2014-06-29,5.8,NA
2014-06-29,6,NA
2014-06-29,6.2,NA
2014-06-29,8,NA
2014-06-29,9,NA
2014-06-29,9.3,NA
2014-06-30,0.1,NA
2014-06-30,1,NA
2014-06-30,1.6,NA
2014-06-30,2.8,NA
2014-06-30,3.8,NA
2014-06-30,5,NA
2014-06-30,5.2,NA
2014-06-30,5.5,NA
2014-06-30,5.8,NA
2014-06-30,6,NA
2014-06-30,6.2,NA
2014-06-30,8,NA
2014-06-30,9,NA
2014-06-30,9.3,NA
2014-07-01,0.1,NA
2014-07-01,1,NA
2014-07-01,1.6,NA
2014-07-01,2.8,NA
2014-07-01,3.8,NA
2014-07-01,5,NA
2014-07-01,5.2,NA
2014-07-01,5.5,NA
2014-07-01,5.8,NA
2014-07-01,6,NA
2014-07-01,6.2,NA
2014-07-01,8,NA
2014-07-01,9,NA
2014-07-01,9.3,NA
2014-07-02,0.1,NA
2014-07-02,1,NA
2014-07-02,1.6,NA
2014-07-02,2.8,NA
2014-07-02,3.8,NA
2014-07-02,5,NA
2014-07-02,5.2,NA
2014-07-02,5.5,NA
2014-07-02,5.8,NA
2014-07-02,6,NA
2014-07-02,6.2,NA
2014-07-02,8,NA
2014-07-02,9,NA
2014-07-02,9.3,NA
2014-07-07,0.1,NA
2014-07-07,1,NA
2014-07-07,1.6,NA
2014-07-07,2.8,NA
2014-07-07,3.8,NA
2014-07-07,5,NA
2014-07-07,5.2,NA
2014-07-07,5.5,NA
2014-07-07,5.8,NA
2014-07-07,6,NA
2014-07-07,6.2,NA
2014-07-07,8,NA
2014-07-07,9,NA
2014-07-07,9.3,NA
2014-07-09,0.1,NA
2014-07-09,1,NA
2014-07-09,1.6,NA
2014-07-09,2.8,NA
2014-07-09,3.8,NA
2014-07-09,5,NA
2014-07-09,5.2,NA
2014-07-09,5.5,NA
2014-07-09,5.8,NA
2014-07-09,6,NA
2014-07-09,6.2,NA
2014-07-09,8,NA
2014-07-09,9,NA
2014-07-09,9.3,NA
2014-07-14,0.1,NA
2014-07-14,1,NA
2014-07-14,1.6,NA
2014-07-14,2.8,NA
2014-07-14,3.8,NA
2014-07-14,5,NA
2014-07-14,5.2,NA
2014-07-14,5.5,NA
2014-07-14,5.8,NA
2014-07-14,6,NA
2014-07-14,6.2,NA
2014-07-14,8,NA
2014-07-14,9,NA
2014-07-14,9.3,NA
2014-07-16,0.1,NA
2014-07-16,1,NA
2014-07-16,1.6,NA
2014-07-16,2.8,NA
2014-07-16,3.8,NA
2014-07-16,5,NA
2014-07-16,5.2,NA
2014-07-16,5.5,NA
2014-07-16,5.8,NA
2014-07-16,6,NA
2014-07-16,6.2,NA
2014-07-16,8,NA
2014-07-16,9,NA
2014-07-16,9.3,NA
2014-07-21,0.1,NA
2014-07-21,1,NA
2014-07-21,1.6,NA
2014-07-21,2.8,NA
2014-07-21,3.8,NA
2014-07-21,5,NA
2014-07-21,5.2,NA
2014-07-21,5.5,NA
2014-07-21,5.8,NA
2014-07-21,6,NA
2014-07-21,6.2,NA
2014-07-21,8,NA
2014-07-21,9,NA
2014-07-21,9.3,NA
2014-07-23,0.1,NA
2014-07-23,1,NA
2014-07-23,1.6,NA
2014-07-23,2.8,NA
2014-07-23,3.8,NA
2014-07-23,5,NA
2014-07-23,5.2,NA
2014-07-23,5.5,NA
2014-07-23,5.8,NA
2014-07-23,6,NA
2014-07-23,6.2,NA
2014-07-23,8,NA
2014-07-23,9,NA
2014-07-23,9.3,NA
2014-07-28,0.1,NA
2014-07-28,1,NA
2014-07-28,1.6,NA
2014-07-28,2.8,NA
2014-07-28,3.8,NA
2014-07-28,5,NA
2014-07-28,5.2,NA
2014-07-28,5.5,NA
2014-07-28,5.8,NA
2014-07-28,6,NA
2014-07-28,6.2,NA
2014-07-28,8,NA
2014-07-28,9,NA
2014-07-28,9.3,NA
2014-07-30,0.1,NA
2014-07-30,1,NA
2014-07-30,1.6,NA
2014-07-30,2.8,NA
2014-07-30,3.8,NA
2014-07-30,5,NA
2014-07-30,5.2,NA
2014-07-30,5.5,NA
2014-07-30,5.8,NA
2014-07-30,6,NA
2014-07-30,6.2,NA
2014-07-30,8,NA
2014-07-30,9,NA
2014-07-30,9.3,NA
2014-08-02,0.1,NA
2014-08-02,1,NA
2014-08-02,1.6,NA
2014-08-02,2.8,NA
2014-08-02,3.8,NA
2014-08-02,5,NA
2014-08-02,5.2,NA
2014-08-02,5.5,NA
2014-08-02,5.8,NA
2014-08-02,6,NA
2014-08-02,6.2,NA
2014-08-02,8,NA
