"Date","Depth_m","Temp_C","Chla_ugL","Turb_NTU","Cond_uScm","Spec_Cond_uScm","DO_mgL","DO_pSat","pH","ORP_mV","PAR","Salinity","Descent.Rate..m.s.","Density_mg_m3","Flag","Pressure..PSI."
2019-06-17 09:56:47,3.8,13.8039,3.2814,0.8467,33.633,25.782539,8.9975,86.027,8.306,313.2865,40.051,2.2892502008305,1,999.3054,0,NA
2019-06-17 09:56:47,5,10.4113,1.2518,2.838,35.894,25.418775,7.2419,64.778,8.244,325.3295,15.086,2.68342657317605,1,999.7028,0,NA
2019-06-17 09:56:47,5.2,10.4058,1.246,2.8649,35.904,25.417508,7.2557,64.882,8.226,326.3239,11.953,2.68461502026742,1,999.7043,0,NA
2019-06-17 09:56:47,5.5,10.4006,1.1177,3.0572,35.885,25.403428,7.2733,65.038,8.209,328.7513,8.8783,2.68347447599768,1,999.7061,0,NA
2019-06-17 09:56:47,5.8,10.3874,1.1526,2.8584,35.871,25.388555,7.2587,64.898,8.192,327.9088,6.4293,2.68331568818789,1,999.7088,0,NA
2019-06-17 09:56:47,6,10.383,1.1541,2.8531,35.857,25.374602,7.2686,64.978,8.179,329.1362,5.3136,2.68251743158667,1,999.7101,0,NA
2019-06-17 09:56:47,6.2,10.398,1.2,3.1352,35.882,25.401016,7.2536,64.862,8.165,330.09,4.1295,2.6833975552622,1,999.7097,0,NA
2019-06-17 09:56:47,8,10.3772,1.1874,3.0601,35.834,25.347849,7.3181,65.399,8.079,335.3008,0.63087,2.68103260314877,1,999.7201,0,NA
2019-06-17 09:56:47,9,10.3476,1.1317,2.9934,35.814,25.321216,7.2354,64.633,8.034,336.691,0.17832,2.68156876938832,1,999.7274,0,NA
2019-06-17 09:56:47,9.3,10.3562,1.0252,3.1317,35.885,25.371834,7.2514,64.775,8.022,336.3257,0.12759,2.68657238867774,1,999.728,0,NA
2019-06-20 15:10:10,0.1,24.8176,2.0948,1.3378,33.646,33.525168,5.8319,70.344,9.31,268.0334,138.88,1.76666498714092,1,997.1113,0,NA
2019-06-20 15:10:10,1,23.5203,3.0809,2.4275,34.086,33.050632,11.9237,140.278,8.918,246.9615,72.597,1.84253699246798,1,997.437,0,NA
2019-06-20 15:10:10,1.6,22.0231,3.7666,2.6576,33.641,31.516699,11.5333,131.511,8.769,239.3048,44.715,1.87871838834324,1,997.7907,0,NA
2019-06-20 15:10:10,2.8,18.2472,3.5746,1.5509,32.327,27.653908,11.9243,125.369,8.549,265.4106,14.552,1.96610142380969,1,998.5793,0,NA
2019-06-20 15:10:10,3.8,12.9837,3.1615,1.1032,35.143,26.428315,5.9846,56.3,8.466,280.1544,7.6108,2.44995081697026,1,999.4136,0,NA
2019-06-20 15:10:10,5,10.5969,1.0757,3.3698,38.181,27.156835,6.3249,56.781,8.335,296.7109,2.9409,2.85101320802756,1,999.6859,0,NA
2019-06-20 15:10:10,5.2,10.5066,0.7671,4.6425,37.853,26.854083,6.3164,56.583,8.313,298.4004,2.3819,2.83192467629686,1,999.6954,0,NA
2019-06-20 15:10:10,5.5,10.4301,0.6121,4.8393,37.129,26.315915,6.5705,58.814,8.28,302.3931,1.7173,2.78017036157093,1,999.7039,0,NA
2019-06-20 15:10:10,5.8,10.4369,0.6379,4.6565,36.304,25.708118,6.8582,61.342,8.246,303.5406,1.195,2.71406911547217,1,999.7044,0,NA
2019-06-20 15:10:10,6,10.4053,0.6073,4.4618,35.855,25.373596,7.2105,64.459,8.222,305.8094,0.95218,2.68072799292217,1,999.7081,0,NA
2019-06-20 15:10:10,6.2,10.782,0.7577,4.0114,36.6,26.099625,6.7425,60.661,8.101,317.0069,0.77121,2.71202195199605,1,999.6732,0,NA
2019-06-20 15:10:10,8,10.2663,0.5321,3.2467,42.079,29.686596,5.8403,52.078,8.019,322.9214,0.12362,3.19008490348109,1,999.7318,0,NA
2019-06-20 15:10:10,9,10.0965,0.495,5.3601,50.08,35.141561,3.9689,35.234,7.935,326.9985,0.12353,3.85820876266111,1,999.7538,0,NA
2019-06-20 15:10:10,9.3,10.0604,0.4782,6.2658,67.294,47.148233,0.01,0.01,7.843,330.8815,0.12356,5.29682151661801,1,999.764,0,NA
2019-06-24 09:48:11,0.1,23.7818,1.5783,1.7701,34.53,33.690757,9.2591,109.552,8.474,232.5069,544.53,1.85726999058526,1,997.3696,0,NA
2019-06-24 09:48:11,1,23.4688,1.8449,1.8303,34.477,33.414782,9.0858,106.847,8.416,236.3372,324.37,1.86704688747288,1,997.4497,0,NA
2019-06-24 09:48:11,1.6,22.6571,2.1668,1.8728,34.217,32.544134,10.2021,117.932,8.412,238.4551,183.03,1.88578864643853,1,997.6449,0,NA
2019-06-24 09:48:11,2.8,18.5045,3.4786,1.1448,32.625,28.033446,11.0177,116.296,8.421,259.5703,67.959,1.97314985743683,1,998.5309,0,NA
2019-06-24 09:48:11,3.8,13.8854,3.1002,0.6953,34.121,26.230018,8.1682,78.286,8.404,274.8548,35.488,2.31963315528809,1,999.2944,0,NA
2019-06-24 09:48:11,5,10.7217,0.8534,4.7163,38.67,27.567716,5.0013,44.984,8.295,290.6136,15.801,2.88006950028744,1,999.6743,0,NA
2019-06-24 09:48:11,5.2,10.5935,0.7245,5.564,39.842,28.361808,5.3299,47.882,8.274,291.3545,12.894,2.98333800729973,1,999.6877,0,NA
2019-06-24 09:48:11,5.5,10.5464,0.5684,6.1954,39.464,28.033897,5.256,47.135,8.243,292.8643,9.2325,2.95701567540382,1,999.6938,0,NA
