"","Reservoir","Site","Date","Depth_m","Temp_C","DO_mgL","Cond_uScm","Spec_Cond_uScm","Chla_ugL","Turb_NTU","pH","ORP_mV","SpCond_calc"
"179","FCR",50,2014-06-03,0.099,22.2024,8.19066,30.590971,NA,1.5156,0.7939,NA,NA,32.3178480643248
"180","FCR",50,2016-06-03,0.535,25.3021,9.38212,31.841566,NA,2.1944,1.6359,NA,NA,31.6588907180787
"181","FCR",50,2014-06-30,0.127,24.6683,8.18659,32.426576,NA,1.2061,0.6932,NA,NA,32.633323441665
"182","FCR",50,2016-06-30,0.529,23.7214,6.3308,33.398585,NA,2.2871,1.1155,NA,NA,34.2346379954938
"183","FCR",50,2016-06-30,0.487,24.102,6.08202,36.640769,NA,2.4364,1.3967,NA,NA,37.2801913866251
"184","FCR",50,2013-06-04,0.5,23.6841,8.40487,36.900514,NA,1.8131,1.0456,NA,NA,37.8518711965746
"185","FCR",50,2014-06-04,0.492,22.5374,8.34972,30.75002,NA,1.214,0.4917,NA,NA,32.267755160702
"186","FCR",50,2014-06-05,0.077,21.8775,9.1684,29.780839,NA,2.1265,0.7267,NA,NA,31.6696064088204
"187","FCR",50,2013-06-06,0.501,21.9342,6.64156,34.942801,NA,1.095,1.5995,NA,NA,37.1162065408469
"188","FCR",50,2014-06-06,0.074,21.8883,8.0449,30.118308,NA,1.6901,0.7939,NA,NA,32.021454133606
"189","FCR",50,2016-06-06,0.27,24.8969,7.30242,31.622294,NA,1.3515,2.2559,NA,NA,31.6846878040707
"190","FCR",50,2016-06-07,0.152,24.8378,8.82038,32.644956,NA,0.8579,13.5268,NA,NA,32.7464050176728
"191","FCR",50,2015-06-08,0.191,22.9341,8.89626,32.184611,NA,2.7692,2.1337,NA,NA,33.5067431925442
"192","FCR",50,2015-06-08,0.112,23.1557,8.76291,32.456983,NA,1.3331,2.1509,NA,NA,33.6420626731941
"193","FCR",50,2016-06-08,0.348,23.6114,7.29051,31.25608,NA,1.6522,1.8789,NA,NA,32.1076473715773
"194","FCR",50,2014-06-09,0.105,22.9926,8.24252,30.908422,NA,0.8014,0.7099,NA,NA,32.1407410816641
"195","FCR",50,2016-06-09,0.513,21.8237,7.80187,30.32926,NA,2.047,2.2769,NA,NA,32.2880923539048
"196","FCR",50,2014-07-01,0.064,25.9951,8.10015,33.070255,NA,1.0553,0.3742,NA,NA,32.4534317698747
"197","FCR",50,2017-07-10,0.301,25.7259,9.682,37.634361,NA,NA,NA,8.599,244.2559,37.1197077590304
"198","FCR",50,2013-07-11,0.519,23.1061,6.2311,33.846678,NA,5.0782,8.9345,NA,NA,35.1169817895961
"199","FCR",50,2016-07-11,0.522,24.9381,6.06574,33.409761,NA,2.0076,1.1758,NA,NA,33.4493077820977
"200","FCR",50,2017-07-11,0.303,26.2851,9.3872,38.408288,NA,NA,NA,8.81,230.8311,37.4881265633702
"201","FCR",50,2017-07-12,0.304,26.8109,9.2073,38.689547,NA,NA,NA,8.896,262.7046,37.3960841366264
"202","FCR",50,2015-07-13,0.125,25.6647,8.58867,36.14456,NA,2.0353,15.8497,NA,NA,35.6914298160839
"203","FCR",50,2014-07-14,0.096,26.6282,7.87774,33.614516,NA,0.8967,0.4582,NA,NA,32.6006798457358
"204","FCR",50,2016-07-14,0.369,25.8054,5.26905,34.554027,NA,1.8467,1.1699,NA,NA,34.0305305837558
"205","FCR",50,2013-07-15,0.516,23.6396,7.36561,34.71992,NA,3.8999,5.9133,NA,NA,35.6461363749578
"206","FCR",50,2014-07-16,0.288,25.6007,7.94724,32.829074,NA,1.4521,0.4917,NA,NA,32.4566864276417
"207","FCR",50,2015-07-16,0.094,25.876,7.58102,29.151052,NA,2.2376,2.7689,NA,NA,28.6713346963938
"208","FCR",50,2015-07-16,0.478,25.4669,7.69618,36.070508,NA,3.4119,6.0133,NA,NA,35.7516820077085
"209","FCR",50,2013-07-18,0.556,26.7469,6.842,38.219083,NA,3.1779,4.5873,NA,NA,36.9850476664222
"210","FCR",50,2016-07-18,0.474,27.0683,8.14706,35.601739,NA,1.1118,1.1683,NA,NA,34.2487579154657
"211","FCR",50,2016-07-18,0.435,26.84,6.15458,35.713079,NA,1.4988,1.4352,NA,NA,34.5005902560417
"212","FCR",50,2014-07-02,0.598,26.5658,8.18846,33.872847,NA,0.9205,0.391,NA,NA,32.8892358588027
"213","FCR",50,2015-07-02,0.091,25.3714,7.54651,29.280761,NA,1.0633,2.4255,NA,NA,29.0745139573601
"214","FCR",50,2015-07-02,0.117,25.2884,8.578,36.203236,NA,1.4679,2.8547,NA,NA,36.0049051403288
"215","FCR",50,2015-07-20,0.099,27.7454,8.58754,37.759265,NA,2.5391,2.9062,NA,NA,35.8779290134136
"216","FCR",50,2014-07-21,0.099,24.0229,8.25049,32.337759,NA,1.9758,0.4582,NA,NA,32.9527431946723
"217","FCR",50,2016-07-21,0.512,26.8576,6.26923,35.534936,NA,1.2416,1.366,NA,NA,34.3173508993161
"218","FCR",50,2013-07-22,0.518,25.6721,5.63641,36.629059,NA,3.9475,3.0598,NA,NA,36.1648073894133
"219","FCR",50,2014-07-23,0.158,25.0366,8.15769,32.960197,NA,1.337,0.4917,NA,NA,32.9371719405832
"220","FCR",50,2015-07-23,0.105,27.0146,8.46828,36.946619,NA,2.0789,2.1337,NA,NA,35.5776322687975
